Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime
AWQ647,A320,Komodo (LBJ / WATO),Ngurah Rai/Bali Intl (DPS / WADD),Fri 05:57PM WITA,Fri 06:47PM WITA,00:50:00,0h 50m
AXM1771,A320,Kuching Int'l (KCH / WBGG),Singapore Changi (SIN / WSSS),Fri 05:56PM +08,Fri 07:21PM +08,01:25:00,1h 15m
AXM5412,A320,Senai Int'l (Sultan Ismail Int'l) (JHB / WMKJ),Kuching Int'l (KCH / WBGG),Fri 05:57PM +08,Fri 07:02PM +08,01:05:00,1h 05m
AXM6183,A320,Miri (MYY / WBGR),Kuching Int'l (KCH / WBGG),Fri 05:57PM +08,Fri 06:37PM +08,00:40:00,0h 48m
BEL3751,A320,Brussels (BRU / EBBR),Valencia (VLC / LEVC),Fri 10:56AM CET,Fri 12:51PM CET,01:55:00,1h 55m
CES596,A320,Hong Kong Int'l (HKG / VHHH),Hangzhou Xiaoshan Int'l (HGH / ZSHC),Fri 05:56PM HKT,Fri 07:43PM CST,01:47:00,2h 15m
CES6405,A320,Nanchang Changbei Int'l (KHN / ZSCN),Taiyuan Wusu (TYN / ZBYN),Fri 05:56PM CST,Fri 07:40PM CST,01:44:00,2h 05m
CSC6908,A320,Fuzhou Changle Int'l (FOC / ZSFZ),Chengdu Tianfu Int'l (TFU / ZUTF),Fri 05:55PM CST,Fri 08:50PM CST,02:55:00,3h 10m
CSN3452,A320,Kunming Changshui Int'l (KMG / ZPPP),Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 05:56PM CST,Fri 07:33PM CST,01:37:00,1h 40m
CTV412,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Supadio (PNK / WIOO),Fri 04:56PM WIB,Fri 06:16PM WIB,01:20:00,1h 40m
EZY2106,A320,Charles de Gaulle/Roissy (CDG / LFPG),Manchester (MAN / EGCC),Fri 10:57AM CET,Fri 10:45AM GMT,00:48:00,1h 25m
EZY2260,A320,Keflavik Int'l (KEF / BIKF),Manchester (MAN / EGCC),Fri 09:57AM GMT,Fri 12:07PM GMT,02:10:00,2h 40m
IGO5328,A320,Chatrapati Shivaji Int'l (BOM / VABB),Raipur (RPR / VERP),Fri 03:27PM IST,Fri 04:47PM IST,01:20:00,1h 25m
JST534,A320,Melbourne Tullamarine (MEL / YMML),Sydney (SYD / YSSY),Fri 08:57PM AEDT,Fri 10:00PM AEDT,00:50:00,1h 10m
SAA40,A320,OR Tambo Int'l (JNB / FAOR),Victoria Falls (FVFA),Fri 11:57AM SAST,Fri 01:12PM CAT,01:15:00,1h 15m
VOI953,A320,Fresno Yosemite Intl (KFAT),Don Miguel Hidalgo y Costilla Int'l (GDL / MMGL),Fri 01:57AM PST,Fri 07:09AM CST,03:12:00,3h 22m
AFL1842,A320,Sheremetyevo Int'l (SVO / UUEE),Minsk Int'l (MSQ / UMMS),Fri 01:20PM MSK,Fri 02:25PM +03,01:21:00,1h 15m
AFL2814,A320,Pulkovo (LED / ULLI),Adler-Sochi Int'l (AER / URSS),Fri 01:20PM MSK,Fri 05:32PM MSK,04:12:00,4h 35m
AHY8105,A320,Heydar Aliyev Int'l (GYD / UBBB),Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),Fri 02:21PM +04,Fri 04:01PM +03,02:40:00,3h 00m
ARE4093,A320,Rafael Nunez Int'l (CTG / SKCG),El Dorado Int'l (BOG / SKBO),Fri 05:19AM -05,Fri 06:34AM -05,01:15:00,1h 34m
ARE4150,A320,El Dorado Int'l (BOG / SKBO),Simon Bolivar (SMR / SKSM),Fri 05:18AM -05,Fri 06:20AM -05,01:15:00,1h 12m
AVA8452,A320,El Dorado Int'l (BOG / SKBO),Rafael Nunez Int'l (CTG / SKCG),Fri 05:20AM -05,Fri 06:31AM -05,01:11:00,1h 31m
AWQ463,A320,Lombok International (LOP / WADL),Kuala Lumpur Int'l (KUL / WMKK),Fri 06:20PM WITA,Fri 09:00PM +08,02:40:00,2h 40m
BTK6372,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Yogyakarta International Airport (YIA / WAHI),Fri 05:19PM WIB,Fri 06:14PM WIB,00:55:00,1h 05m
CCA2683,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Jieyang Chaoshan International Airport (SWA / ZGOW),Fri 06:22PM CST,Fri 08:27PM CST,02:05:00,2h 07m
CCA8294,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Wuhan Tianhe (WUH / ZHHH),Fri 06:18PM CST,Fri 07:39PM CST,01:24:00,1h 33m
CES6127,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Zhanjiang (ZHA / ZGZJ),Fri 06:20PM CST,Fri 08:11PM CST,01:50:00,1h 55m
CSC6426,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Rizhao Shanzihe (RIZ / ZSRZ),Fri 06:20PM CST,Fri 07:16PM CST,00:56:00,1h 06m
CSC8767,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Changsha Huanghua Int'l (CSX / ZGHA),Fri 06:21PM CST,Fri 07:48PM CST,01:23:00,1h 37m
CSN3040,A320,Singapore Changi (SIN / WSSS),Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 06:21PM +08,Fri 09:59PM CST,03:37:00,3h 47m
CTV172,A320,Halim Perdanakusuma Int'l (HLP / WIHH),Juanda Int'l (SUB / WARR),Fri 05:20PM WIB,Fri 06:25PM WIB,01:05:00,1h 30m
EJU3807,A320,Malpensa Int'l (MXP / LIMC),Charles de Gaulle/Roissy (CDG / LFPG),Fri 11:20AM CET,Fri 12:10PM CET,00:50:00,1h 25m
EJU4592,A320,General Humberto Delgado Airport (LIS / LPPT),Charles de Gaulle/Roissy (CDG / LFPG),Fri 10:20AM WET,Fri 01:14PM CET,01:54:00,2h 22m
EZS1591,A320,Geneva Cointrin Int'l (GVA / LSGG),Skopje (SKP / LWSK),Fri 11:19AM CET,Fri 01:00PM CET,01:31:00,2h 01m
EZY2952,A320,Innsbruck (Kranebitten) (INN / LOWI),Bristol Int'l (BRS / EGGD),Fri 11:22AM CET,Fri 11:47AM GMT,01:25:00,1h 55m
EZY7774,A320,Luxembourg Int'l (LUX / ELLX),Porto / Oporto (OPO / LPPR),Fri 11:18AM CET,Fri 12:22PM WET,02:03:00,2h 23m
FIN1362,A320,Manchester (MAN / EGCC),Helsinki-Vantaa (HEL / EFHK),Fri 10:19AM GMT,Fri 02:58PM EET,02:30:00,3h 00m
GBB209,A320,OR Tambo Int'l (JNB / FAOR),King Shaka Int'l (DUR / FALE),Fri 12:18PM SAST,Fri 12:56PM SAST,00:38:00,0h 48m
GPX810,A320,Pristina (PRN / BKPR),Basle-Mulhouse (EAP / LFSB),Fri 11:20AM CET,Fri 01:00PM CET,01:40:00,1h 40m
IBE3010,A320,Adolfo Suárez Madrid-Barajas (MAD / LEMD),Barcelona Int'l (BCN / LEBL),Fri 11:21AM CET,Fri 12:21PM CET,01:00:00,1h 10m
JST532,A320,Melbourne Tullamarine (MEL / YMML),Sydney (SYD / YSSY),Fri 09:19PM AEDT,Fri 10:25PM AEDT,00:49:00,1h 16m
JST612,A320,Avalon (AVV / YMAV),Sydney (SYD / YSSY),Fri 09:19PM AEDT,Fri 10:25PM AEDT,00:51:00,1h 16m
