ANA1272,A320,New Chitose (CTS / RJCC),Hiroshima (HIJ / RJOA),Fri 06:56PM JST,Fri 08:51PM JST,01:55:00,,ANA1272,1h 55m
ANA387,A320,Tokyo Int'l (Haneda) (HND / RJTT),Miho Airfield (Yonago) (YGJ / RJOH),Fri 06:57PM JST,Fri 08:02PM JST,01:05:00,,ANA387,1h 05m
AVA9653,A320,Jose Maria Cordova Int'l (MDE / SKRG),El Dorado Int'l (BOG / SKBO),Fri 04:56AM -05,Fri 05:30AM -05,00:34:00,,AVA9653,0h 43m
AVA9785,A320,Rafael Nunez Int'l (CTG / SKCG),El Dorado Int'l (BOG / SKBO),Fri 04:56AM -05,Fri 05:18AM -05,00:22:00,,AVA9785,0h 57m
AWQ508,A320,Ngurah Rai/Bali Intl (DPS / WADD),Singapore Changi (SIN / WSSS),Fri 05:57PM WITA,Fri 08:27PM +08,02:30:00,,AWQ508,2h 20m
AWQ647,A320,Komodo (LBJ / WATO),Ngurah Rai/Bali Intl (DPS / WADD),Fri 05:57PM WITA,Fri 06:47PM WITA,00:50:00,,AWQ647,0h 50m
AXM1771,A320,Kuching Int'l (KCH / WBGG),Singapore Changi (SIN / WSSS),Fri 05:56PM +08,Fri 07:21PM +08,01:25:00,,AXM1771,1h 15m
AXM5412,A320,Senai Int'l (Sultan Ismail Int'l) (JHB / WMKJ),Kuching Int'l (KCH / WBGG),Fri 05:57PM +08,Fri 07:02PM +08,01:05:00,,AXM5412,1h 05m
AXM6183,A320,Miri (MYY / WBGR),Kuching Int'l (KCH / WBGG),Fri 05:57PM +08,Fri 06:37PM +08,00:40:00,,AXM6183,0h 48m
BEL3751,A320,Brussels (BRU / EBBR),Valencia (VLC / LEVC),Fri 10:56AM CET,Fri 12:51PM CET,01:55:00,,BEL3751,1h 55m
CES596,A320,Hong Kong Int'l (HKG / VHHH),Hangzhou Xiaoshan Int'l (HGH / ZSHC),Fri 05:56PM HKT,Fri 07:43PM CST,01:47:00,,CES596,2h 15m
CES6405,A320,Nanchang Changbei Int'l (KHN / ZSCN),Taiyuan Wusu (TYN / ZBYN),Fri 05:56PM CST,Fri 07:40PM CST,01:44:00,,CES6405,2h 05m
CSC6908,A320,Fuzhou Changle Int'l (FOC / ZSFZ),Chengdu Tianfu Int'l (TFU / ZUTF),Fri 05:55PM CST,Fri 08:50PM CST,02:55:00,,CSN3452,1h 45m
CSN3452,A320,Kunming Changshui Int'l (KMG / ZPPP),Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 05:56PM CST,Fri 07:33PM CST,01:37:00,,CSN3462,1h 40m
CTV412,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Supadio (PNK / WIOO),Fri 04:56PM WIB,Fri 06:16PM WIB,01:20:00,,CTV412,1h 40m
EZY2106,A320,Charles de Gaulle/Roissy (CDG / LFPG),Manchester (MAN / EGCC),Fri 10:57AM CET,Fri 10:45AM GMT,00:48:00,,EZY2106,1h 25m
EZY2260,A320,Keflavik Int'l (KEF / BIKF),Manchester (MAN / EGCC),Fri 09:57AM GMT,Fri 12:07PM GMT,02:10:00,,EZY2260,2h 40m
IGO5328,A320,Chatrapati Shivaji Int'l (BOM / VABB),Raipur (RPR / VERP),Fri 03:27PM IST,Fri 04:47PM IST,01:20:00,,IGO5328,1h 25m
JST534,A320,Melbourne Tullamarine (MEL / YMML),Sydney (SYD / YSSY),Fri 08:57PM AEDT,Fri 10:00PM AEDT,00:50:00,,JST534,1h 10m
SAA40,A320,OR Tambo Int'l (JNB / FAOR),Victoria Falls (FVFA),Fri 11:57AM SAST,Fri 01:12PM CAT,01:15:00,,SAA40,1h 15m
VOI953,A320,Fresno Yosemite Intl (KFAT),Don Miguel Hidalgo y Costilla Int'l (GDL / MMGL),Fri 01:57AM PST,Fri 07:09AM CST,03:12:00,,VOI953,3h 22m
