,Aircraft,Flight Type,Origin,Destination,Departure_Date,Departure_Time,Arrival_Date,Arrival_Time,EA_Time,RA_Time,Delay_Time
75,MEA324,A320,Beirut Air Base/Rafic Hariri Int'l (Beirut Int'l) (BEY / OLBA),Erbil Int'l (EBL / ORER),10.03.2024,12:01,10.03.2024,13:40,100.0,150.0,50.0
76,CES5022,A320,Qingdao Jiaodong Int'l (TAO / ZSQD),Xi'an Xianyang Int'l (XIY / ZLXY),10.03.2024,17:01,10.03.2024,18:43,65.0,55.0,-10.0
77,AIQ3431,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Chiang Mai Int'l (CNX / VTCC),10.03.2024,16:01,10.03.2024,16:50,55.0,46.0,-9.0
78,GAP2919,A320,Manila Int'l (MNL / RPLL),Bicol International (DRP / RPLK),10.03.2024,17:01,10.03.2024,17:28,45.0,91.0,46.0
79,THA111,A320,Chiang Mai Int'l (CNX / VTCC),Suvarnabhumi Bangkok Int'l (BKK / VTBS),10.03.2024,16:01,10.03.2024,16:45,65.0,81.0,16.0
80,CES2165,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Shanghai Hongqiao Int'l (SHA / ZSSS),10.03.2024,17:01,10.03.2024,18:47,106.0,116.0,10.0
81,CQH8661,A320,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Changchun Longjia Int'l (CGQ / ZYCC),10.03.2024,17:01,10.03.2024,18:51,111.0,114.0,3.0
82,CSN3125,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Heze (HZA / ZSHZ),10.03.2024,17:01,10.03.2024,19:04,123.0,122.0,-1.0
83,CGZ7263,A320,Xingyi Wanfenglin Airport (ACX / ZUYI),Wuhan Tianhe (WUH / ZHHH),10.03.2024,17:01,10.03.2024,18:43,102.0,122.0,20.0
84,QDA6222,A320,Lijiang (LJG / ZPLJ),Xishuangbanna Gasa (JHG / ZPJH),10.03.2024,17:01,10.03.2024,17:53,52.0,81.0,29.0
85,TAP1901,A320,General Humberto Delgado Airport (LIS / LPPT),Faro (FAO / LPFR),10.03.2024,10:00,10.03.2024,10:21,33.0,38.0,5.0
86,AWC922,A320,Toulouse-Blagnac (TLS / LFBO),,10.03.2024,11:00,,,,,
87,CSN6060,A320,Phnom Penh Int'l (Pochentong Int'l) (PNH / VDPP),Guangzhou Baiyun Int'l (CAN / ZGGG),10.03.2024,16:00,10.03.2024,19:27,140.0,157.0,17.0
88,EZY2840,A320,Galileo Galilei (Pisa Int'l) (PSA / LIRP),Bristol Int'l (BRS / EGGD),10.03.2024,11:00,10.03.2024,11:34,105.0,105.0,0.0
89,TAI366,A320,El Dorado Int'l (BOG / SKBO),El Salvador Int'l (SAL / MSLP),10.03.2024,04:00,10.03.2024,05:44,155.0,178.0,23.0
90,CEB646,A320,Puerto Princesa (PPS / RPVP),Manila Int'l (MNL / RPLL),10.03.2024,17:00,10.03.2024,18:10,70.0,63.0,-7.0
91,VLG8348,A320,Palma de Mallorca (or Son Sant Joan) (PMI / LEPA),Zurich (Kloten) (ZRH / LSZH),10.03.2024,11:00,10.03.2024,12:55,105.0,116.0,11.0
92,CSZ9475,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Nanchang Changbei Int'l (KHN / ZSCN),10.03.2024,17:00,10.03.2024,18:38,103.0,109.0,6.0
93,EJU8527,A320,London Gatwick (LGW / EGKK),Porto / Oporto (OPO / LPPR),10.03.2024,10:00,10.03.2024,11:49,110.0,124.0,14.0
94,ABY195,A320,Sharjah Int'l (SHJ / OMSJ),Abha Regional (AHB / OEAB),10.03.2024,13:00,10.03.2024,14:20,145.0,152.0,7.0
