,Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime
0,VLG6210,A320,Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF),Malaga (AGP / LEMG),Fri 03:54PM CET,Fri 06:19PM CET,02:25:00,2h 37m
1,JBU2795,A320,Fort Lauderdale Intl (KFLL),Cancun Int'l (CUN / MMUN),Fri 10:54AM EDT,Fri 11:47AM EST,01:53:00,2h 17m
2,AVA8562,A320,Antonio Narino (PSO / SKPS),,,,,
3,ARE4015,A320,Jose Maria Cordova Int'l (MDE / SKRG),El Dorado Int'l (BOG / SKBO),Fri 09:54AM -05,Fri 10:27AM -05,00:33:00,0h 49m
4,UAL1383,A320,Houston Bush Int'ctl (KIAH),John Wayne (KSNA),Fri 09:54AM CDT,Fri 11:13AM PDT,03:19:00,3h 33m
5,CCA8233,A320,Wuhan Tianhe (WUH / ZHHH),,,,,
6,BEL3738,A320,Malaga (AGP / LEMG),Brussels (BRU / EBBR),Fri 03:54PM CET,Fri 06:22PM CET,02:28:00,3h 18m
7,CSZ9994,A320,Qingdao Jiaodong Int'l (TAO / ZSQD),Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 10:53PM CST,Sat 02:04AM CST,03:02:00,2h 42m
8,EZY2151,A320,Manchester (MAN / EGCC),Istanbul Airport (IST / LTFM),Fri 02:53PM GMT,Fri 09:02PM +03,03:09:00,3h 2m
9,LDA9754,A320,Banja Luka Int'l (BNX / LQBK),Vienna Int'l (Schwechat) (VIE / LOWW),Fri 03:53PM CET,Fri 04:33PM CET,00:40:00,1h 18m
10,PGT1005,A320,Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),Dusseldorf Int'l (DUS / EDDL),Fri 05:53PM +03,Fri 07:03PM CET,03:10:00,3h 48m
11,EJU4301,A320,Lyon (LYS / LFLL),La Rochelle (LRH / LFBH),Fri 03:53PM CET,Fri 04:42PM CET,00:49:00,1h 11m
12,IBE3279,A320,Budapest Ferenc Liszt International Airport (BUD / LHBP),Adolfo Suárez Madrid-Barajas (MAD / LEMD),Fri 03:53PM CET,Fri 07:03PM CET,03:10:00,3h 53m
13,CSZ9935,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Changzhou Benniu (CZX / ZSCG),Fri 10:53PM CST,Sat 12:40AM CST,01:49:00,2h 32m
14,UAL2330,A320,Pensacola Intl (KPNS),Houston Bush Int'ctl (KIAH),Fri 09:53AM CDT,Fri 11:22AM CDT,01:30:00,1h 12m
15,AAY2466,A320,Albany Intl (KALB),Punta Gorda (KPGD),Fri 10:53AM EDT,Fri 01:40PM EDT,02:47:00,3h 37m
16,BAW890,A320,London Heathrow (LHR / EGLL),,,,,
17,AIQ3015,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Phuket Int'l (HKT / VTSP),Fri 09:53PM +07,Fri 10:58PM +07,01:05:00,0h 58m
18,KNE46,A320,King Abdulaziz Int'l (JED / OEJN),King Khalid Int'l (RUH / OERK),Fri 05:53PM +03,Fri 07:08PM +03,01:15:00,1h 41m
