,Unnamed: 0,Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime,EA_Time,RA_Time
63,63,AAY482,A320,The Eastern Iowa (KCID),Fort Lauderdale Intl (KFLL),Fri 09:49AM CDT,Fri 01:46PM EDT,0 days 02:35:00,2h 50m,155.0,170.0
64,64,JST671,A320,Darwin Int'l / RAAF (DRW / YPDN),Sydney (SYD / YSSY),Sat 12:19AM ACST,Sat 05:32AM AEDT,0 days 03:36:00,3h 57m,216.0,237.0
65,65,JAP7224,A320,Jorge Chávez Int'l (LIM / SPJC),,Fri 09:49AM -05,,,,,
66,66,TAM3009,A320,Presidente Juscelino Kubitschek Int'l (BSB / SBBR),São Paulo-Congonhas (CGH / SBSP),Fri 11:49AM -03,Fri 01:20PM -03,0 days 01:30:00,2h 11m,90.0,131.0
67,67,UAL246,A320,Seattle-Tacoma Intl (KSEA),San Francisco Int'l (KSFO),Fri 07:49AM PDT,Fri 09:51AM PDT,0 days 02:02:00,2h 15m,122.0,135.0
68,68,ITY1792,A320,Palermo Int'l (Punta Raisi Falcone-Borsellino) (PMO / LICJ),Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF),Fri 03:49PM CET,Fri 04:55PM CET,0 days 01:00:00,0h 58m,60.0,58.0
69,69,CTV250,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Sultan Hasanuddin Int'l (UPG / WAAA),Fri 09:49PM WIB,Sat 12:54AM WITA,0 days 02:05:00,2h 2m,125.0,122.0
70,70,OTC7120,A320,Changsha Huanghua Int'l (CSX / ZGHA),Kunming Changshui Int'l (KMG / ZPPP),Fri 10:49PM CST,Sat 12:38AM CST,0 days 01:51:00,2h 16m,111.0,136.0
71,71,IBE3271,A320,Hamburg (HAM / EDDH),Adolfo Suárez Madrid-Barajas (MAD / LEMD),Fri 03:49PM CET,Fri 07:05PM CET,0 days 03:05:00,3h 6m,185.0,186.0
72,72,CES9923,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Penglai International (YNT / ZSYT),Fri 10:49PM CST,Sat 12:29AM CST,0 days 01:46:00,1h 41m,106.0,101.0
73,73,CSC6715,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 10:49PM CST,Sat 12:46AM CST,0 days 01:53:00,2h 25m,113.0,145.0
74,74,UEA2214,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Xingyi Wanfenglin Airport (ACX / ZUYI),Fri 10:49PM CST,Sat 12:32AM CST,0 days 01:43:00,1h 48m,103.0,108.0
75,75,UAL342,A320,Reagan National (KDCA),Chicago O'Hare Intl (KORD),Fri 10:48AM EDT,Fri 11:47AM CDT,0 days 01:59:00,1h 49m,119.0,109.0
76,76,AAY3206,A320,Phoenix-Mesa Gateway (KIWA),Appleton Intl (KATW),Fri 07:48AM MST,Fri 12:49PM CDT,0 days 02:42:00,3h 17m,162.0,197.0
77,77,TAM3719,A320,Ministro Victor Konder Int'l (NVT / SBNF),São Paulo-Congonhas (CGH / SBSP),Fri 11:48AM -03,Fri 12:35PM -03,0 days 00:45:00,1h 24m,45.0,84.0
78,78,Airborne Airbus A320 (twin-jet) (A320) Aircraft,,,,,,,,,
79,79,AFR1822,A320,Charles de Gaulle/Roissy (CDG / LFPG),Munich Int'l (MUC / EDDM),Fri 03:48PM CET,Fri 05:08PM CET,0 days 01:20:00,1h 11m,80.0,71.0
80,80,AVA9764,A320,El Dorado Int'l (BOG / SKBO),Simon Bolivar (SMR / SKSM),Fri 09:48AM -05,Fri 10:47AM -05,0 days 00:47:00,1h 36m,47.0,96.0
81,81,TAM8020,A320,Governor Francisco Gabrielli Int'l (El Plumerillo Int'l) (MDZ / SAME),São Paulo-Guarulhos Int'l (GRU / SBGR),Fri 11:48AM -03,Fri 02:40PM -03,0 days 02:54:00,3h 28m,174.0,208.0
