,Unnamed: 0,Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime,EA_Time,RA_Time
114,114,CSN8071,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Kuala Lumpur Int'l (KUL / WMKK),Fri 10:47PM CST,Sat 02:30AM +08,0 days 03:39:00,4h 26m,219.0,266.0
115,115,EWG9801,A320,Orio al Serio Int'l (BGY / LIME),,Fri 03:46PM CET,,,,,
116,116,EIN168,A320,Dublin Int'l (DUB / EIDW),London Heathrow (LHR / EGLL),Fri 02:46PM GMT,Fri 03:27PM GMT,0 days 00:47:00,0h 27m,47.0,27.0
117,117,VLG8715,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Barcelona Int'l (BCN / LEBL),Fri 03:46PM CET,Fri 05:55PM CET,0 days 02:05:00,2h 46m,125.0,166.0
118,118,JBU2357,A320,Newark Liberty Intl (KEWR),Sangster Int'l (MBJ / MKJS),Fri 10:46AM EDT,Fri 01:05PM EST,0 days 03:48:00,4h 25m,228.0,265.0
119,119,Airborne Airbus A320 (twin-jet) (A320) Aircraft,,,,,,,,,
120,120,CES6798,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Beijing Daxing International Airport (PKX / ZBAD),Fri 10:48PM CST,Sat 12:39AM CST,0 days 02:06:00,2h 22m,126.0,142.0
121,121,CJL206,A320,Toronto Pearson Int'l (CYYZ),Orlando Intl (KMCO),Fri 10:48AM EDT,Fri 01:33PM EDT,0 days 02:22:00,2h 11m,142.0,131.0
122,122,CSN6207,A320,Harbin Taiping Int'l (HRB / ZYHB),Beijing Daxing International Airport (PKX / ZBAD),Fri 10:48PM CST,Sat 12:37AM CST,0 days 01:49:00,1h 50m,109.0,110.0
123,123,SNG6614,A320,Taiyuan Wusu (TYN / ZBYN),Harbin Taiping Int'l (HRB / ZYHB),Fri 10:48PM CST,Sat 01:06AM CST,0 days 02:14:00,2h 24m,134.0,144.0
124,124,QDA9876,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Qingdao Jiaodong Int'l (TAO / ZSQD),Fri 10:48PM CST,Fri 11:35PM CST,0 days 00:41:00,1h 9m,41.0,69.0
125,125,CQH6521,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wuxi (WUX / ZSWX),Fri 10:47PM CST,Sat 12:38AM CST,0 days 01:53:00,2h 5m,113.0,125.0
126,126,AIQ3426,A320,Chiang Mai Int'l (CNX / VTCC),Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Fri 09:47PM +07,Fri 10:45PM +07,0 days 01:05:00,1h 45m,65.0,105.0
127,127,SAA357,A320,OR Tambo Int'l (JNB / FAOR),Cape Town Int'l (CPT / FACT),Fri 04:47PM SAST,Fri 06:35PM SAST,0 days 01:45:00,1h 41m,105.0,101.0
128,128,UAL1567,A320,Lic. Benito Juarez Int'l (MEX / MMMX),Washington Dulles Intl (KIAD),Fri 08:47AM CST,Fri 02:41PM EDT,0 days 03:54:00,4h 6m,234.0,246.0
129,129,AAL2327,A320,Dallas-Fort Worth Intl (KDFW),Eglin AFB/Destin-Ft Walton Beach (KVPS),Fri 09:47AM CDT,Fri 11:11AM CDT,0 days 01:30:00,1h 49m,90.0,109.0
130,130,APG288,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Manila Int'l (MNL / RPLL),Fri 09:47PM +07,Sat 01:56AM PST,0 days 03:00:00,2h 53m,180.0,173.0
131,131,TAR722,A320,Tunis-Carthage Int'l (TUN / DTTA),Paris Orly (ORY / LFPO),Fri 03:47PM CET,Fri 05:52PM CET,0 days 02:05:00,2h 29m,125.0,149.0
132,132,VTI590,A320,Manohar International Airport (GOX / VOGA),,,,,,,
133,133,GBB124,A320,Cape Town Int'l (CPT / FACT),OR Tambo Int'l (JNB / FAOR),Fri 04:47PM SAST,Fri 05:50PM SAST,0 days 01:13:00,1h 3m,73.0,63.0
134,134,AFL1214,A320,Sheremetyevo Int'l (SVO / UUEE),Kurumoch (KUF / UWWW),Fri 05:47PM MSK,Fri 08:17PM +04,0 days 01:30:00,1h 35m,90.0,95.0
135,135,EZY5108,A320,Barcelona Int'l (BCN / LEBL),Berlin-Brandenburg (BER / EDDB),Fri 03:47PM CET,Fri 05:49PM CET,0 days 02:11:00,2h 56m,131.0,176.0
136,136,CBJ5158,A320,Kunming Changshui Int'l (KMG / ZPPP),Hangzhou Xiaoshan Int'l (HGH / ZSHC),Fri 10:47PM CST,Sat 01:03AM CST,0 days 02:16:00,2h 5m,136.0,125.0
137,137,AAY354,A320,Orlando Sanford Intl (KSFB),Nashville Intl (KBNA),Fri 10:47AM EDT,Fri 11:14AM CDT,0 days 01:26:00,1h 44m,86.0,104.0
138,138,JBU173,A320,Fort Lauderdale Intl (KFLL),Punta Cana Int'l (PUJ / MDPC),Fri 10:47AM EDT,Fri 12:33PM AST,0 days 02:13:00,1h 55m,133.0,115.0
139,139,UAL764,A320,Chicago O'Hare Intl (KORD),Calgary Int'l (CYYC),Fri 09:47AM CDT,Fri 12:04PM MDT,0 days 03:30:00,3h 20m,210.0,200.0
140,140,CES6581,A320,Shanghai Pudong Int'l (PVG / ZSPD),Hefei Xinqiao Airport (HFE / ZSOF),Fri 10:47PM CST,Fri 11:49PM CST,0 days 01:01:00,0h 48m,61.0,48.0
141,141,CSN8071,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Kuala Lumpur Int'l (KUL / WMKK),Fri 10:47PM CST,Sat 02:30AM +08,0 days 03:39:00,3h 41m,219.0,221.0
