Aircraft,Flight Type,Origin,Destination,Departure_Date,Departure_Time,Arrival_Date,Arrival_Time,EA_Time,RA_Time,Delay_Time
AAY482,A320,The Eastern Iowa (KCID),Fort Lauderdale Intl (KFLL),08.03.2024,09:49,08.03.2024,13:46,155,170,15
JST671,A320,Darwin Int'l / RAAF (DRW / YPDN),Sydney (SYD / YSSY),09.03.2024,00:19,09.03.2024,05:32,216,237,21
JAP7224,A320,Jorge Chávez Int'l (LIM / SPJC),,08.03.2024,09:49,,,,,
TAM3009,A320,Presidente Juscelino Kubitschek Int'l (BSB / SBBR),São Paulo-Congonhas (CGH / SBSP),08.03.2024,11:49,08.03.2024,13:20,90,131,41
UAL246,A320,Seattle-Tacoma Intl (KSEA),San Francisco Int'l (KSFO),08.03.2024,07:49,08.03.2024,09:51,122,135,13
ITY1792,A320,Palermo Int'l (Punta Raisi Falcone-Borsellino) (PMO / LICJ),Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF),08.03.2024,15:49,08.03.2024,16:55,60,58,-2
CTV250,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Sultan Hasanuddin Int'l (UPG / WAAA),08.03.2024,21:49,09.03.2024,00:54,125,122,-3
OTC7120,A320,Changsha Huanghua Int'l (CSX / ZGHA),Kunming Changshui Int'l (KMG / ZPPP),08.03.2024,22:49,09.03.2024,00:38,111,136,25
IBE3271,A320,Hamburg (HAM / EDDH),Adolfo Suárez Madrid-Barajas (MAD / LEMD),08.03.2024,15:49,08.03.2024,19:05,185,186,1
CES9923,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Penglai International (YNT / ZSYT),08.03.2024,22:49,09.03.2024,00:29,106,101,-5
CSC6715,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Guangzhou Baiyun Int'l (CAN / ZGGG),08.03.2024,22:49,09.03.2024,00:46,113,145,32
UEA2214,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Xingyi Wanfenglin Airport (ACX / ZUYI),08.03.2024,22:49,09.03.2024,00:32,103,108,5
UAL342,A320,Reagan National (KDCA),Chicago O'Hare Intl (KORD),08.03.2024,10:48,08.03.2024,11:47,119,109,-10
AAY3206,A320,Phoenix-Mesa Gateway (KIWA),Appleton Intl (KATW),08.03.2024,07:48,08.03.2024,12:49,162,197,35
TAM3719,A320,Ministro Victor Konder Int'l (NVT / SBNF),São Paulo-Congonhas (CGH / SBSP),08.03.2024,11:48,08.03.2024,12:35,45,84,39
Airborne Airbus A320 (twin-jet) (A320) Aircraft,,,,,,,,,,
AFR1822,A320,Charles de Gaulle/Roissy (CDG / LFPG),Munich Int'l (MUC / EDDM),08.03.2024,15:48,08.03.2024,17:08,80,71,-9
AVA9764,A320,El Dorado Int'l (BOG / SKBO),Simon Bolivar (SMR / SKSM),08.03.2024,09:48,08.03.2024,10:47,47,96,49
TAM8020,A320,Governor Francisco Gabrielli Int'l (El Plumerillo Int'l) (MDZ / SAME),São Paulo-Guarulhos Int'l (GRU / SBGR),08.03.2024,11:48,08.03.2024,14:40,174,208,34
EZY1232,A320,Edinburgh (EDI / EGPH),Basle-Mulhouse (EAP / LFSB),08.03.2024,14:48,08.03.2024,17:41,113,109,-4
AFL1233,A320,Ufa Int'l (UFA / UWUU),Sheremetyevo Int'l (SVO / UUEE),08.03.2024,19:48,08.03.2024,19:55,125,114,-11
PGT1018,A320,Cologne Bonn (CGN / EDDK),Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),08.03.2024,15:48,08.03.2024,20:35,170,174,4
VTI766,A320,Netaji Subhash Chandra Bose Int'l (CCU / VECC),Bengaluru Int'l (BLR / VOBL),08.03.2024,20:18,08.03.2024,22:22,135,138,3
DAL1729,A320,Orlando Intl (KMCO),Raleigh-Durham Intl (KRDU),08.03.2024,10:48,08.03.2024,12:04,78,65,-13
PGT2794,A320,Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),Samsun (SZF / LTFH),08.03.2024,17:48,08.03.2024,18:45,70,91,21
DLH274,A320,Frankfurt Int'l (FRA / EDDF),Linate (LIN / LIML),08.03.2024,15:48,08.03.2024,16:45,55,104,49
PGT1262,A320,Rotterdam (RTM / EHRD),Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),08.03.2024,15:48,08.03.2024,20:53,185,195,10
CSN6226,A320,Qingdao Jiaodong Int'l (TAO / ZSQD),Daqing Sartu (DQA / ZYDQ),08.03.2024,22:48,09.03.2024,00:42,110,132,22
SAS767,A320,Copenhagen (CPH / EKCH),,,,,,,,
PGT980,A320,Berlin-Brandenburg (BER / EDDB),Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),08.03.2024,15:48,08.03.2024,20:10,150,180,30
CES6798,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Beijing Daxing International Airport (PKX / ZBAD),08.03.2024,22:48,09.03.2024,00:39,126,145,19
CSN6207,A320,Harbin Taiping Int'l (HRB / ZYHB),Beijing Daxing International Airport (PKX / ZBAD),08.03.2024,22:48,09.03.2024,00:37,109,106,-3
QDA9876,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Qingdao Jiaodong Int'l (TAO / ZSQD),08.03.2024,22:48,08.03.2024,23:35,41,84,43
SNG6614,A320,Taiyuan Wusu (TYN / ZBYN),Harbin Taiping Int'l (HRB / ZYHB),08.03.2024,22:48,09.03.2024,01:06,134,181,47
CJL206,A320,Toronto Pearson Int'l (CYYZ),,,,,,,,
CQH6521,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wuxi (WUX / ZSWX),08.03.2024,22:47,09.03.2024,00:38,113,140,27
SAA357,A320,OR Tambo Int'l (JNB / FAOR),Cape Town Int'l (CPT / FACT),08.03.2024,16:47,08.03.2024,18:35,105,124,19
AIQ3426,A320,Chiang Mai Int'l (CNX / VTCC),Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),08.03.2024,21:47,08.03.2024,22:45,65,65,0
UAL1567,A320,Lic. Benito Juarez Int'l (MEX / MMMX),Washington Dulles Intl (KIAD),08.03.2024,08:47,08.03.2024,14:41,234,223,-11
AAL2327,A320,Dallas-Fort Worth Intl (KDFW),Eglin AFB/Destin-Ft Walton Beach (KVPS),08.03.2024,09:47,08.03.2024,11:11,90,76,-14
APG288,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Manila Int'l (MNL / RPLL),08.03.2024,21:47,09.03.2024,01:56,180,174,-6
TAR722,A320,Tunis-Carthage Int'l (TUN / DTTA),,,,,,,,
VTI590,A320,Manohar International Airport (GOX / VOGA),Rajiv Gandhi Int'l (HYD / VOHS),08.03.2024,20:17,08.03.2024,21:00,55,82,27
GBB124,A320,Cape Town Int'l (CPT / FACT),OR Tambo Int'l (JNB / FAOR),08.03.2024,16:47,08.03.2024,17:50,73,56,-17
AFL1214,A320,Sheremetyevo Int'l (SVO / UUEE),Kurumoch (KUF / UWWW),08.03.2024,17:47,08.03.2024,20:17,90,123,33
EZY5108,A320,Barcelona Int'l (BCN / LEBL),Berlin-Brandenburg (BER / EDDB),08.03.2024,15:47,08.03.2024,17:49,131,177,46
CBJ5158,A320,Kunming Changshui Int'l (KMG / ZPPP),Hangzhou Xiaoshan Int'l (HGH / ZSHC),08.03.2024,22:47,09.03.2024,01:03,136,144,8
AAY354,A320,Orlando Sanford Intl (KSFB),,,,,,,,
JBU173,A320,Fort Lauderdale Intl (KFLL),Punta Cana Int'l (PUJ / MDPC),08.03.2024,10:47,08.03.2024,12:33,133,126,-7
UAL764,A320,Chicago O'Hare Intl (KORD),Calgary Int'l (CYYC),08.03.2024,09:47,08.03.2024,12:04,210,213,3
CES6581,A320,Shanghai Pudong Int'l (PVG / ZSPD),Hefei Xinqiao Airport (HFE / ZSOF),08.03.2024,22:47,08.03.2024,23:49,61,80,19
CSN8071,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Kuala Lumpur Int'l (KUL / WMKK),08.03.2024,22:47,09.03.2024,02:30,219,266,47
EWG9801,A320,Orio al Serio Int'l (BGY / LIME),,08.03.2024,15:46,,,,,
EIN168,A320,Dublin Int'l (DUB / EIDW),London Heathrow (LHR / EGLL),08.03.2024,14:46,08.03.2024,15:27,47,27,-20
VLG8715,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Barcelona Int'l (BCN / LEBL),08.03.2024,15:46,08.03.2024,17:55,125,166,41
JBU2357,A320,Newark Liberty Intl (KEWR),Sangster Int'l (MBJ / MKJS),08.03.2024,10:46,08.03.2024,13:05,228,265,37
Airborne Airbus A320 (twin-jet) (A320) Aircraft,,,,,,,,,,
CES6798,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Beijing Daxing International Airport (PKX / ZBAD),08.03.2024,22:48,09.03.2024,00:39,126,142,16
CJL206,A320,Toronto Pearson Int'l (CYYZ),Orlando Intl (KMCO),08.03.2024,10:48,08.03.2024,13:33,142,131,-11
CSN6207,A320,Harbin Taiping Int'l (HRB / ZYHB),Beijing Daxing International Airport (PKX / ZBAD),08.03.2024,22:48,09.03.2024,00:37,109,110,1
SNG6614,A320,Taiyuan Wusu (TYN / ZBYN),Harbin Taiping Int'l (HRB / ZYHB),08.03.2024,22:48,09.03.2024,01:06,134,144,10
QDA9876,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Qingdao Jiaodong Int'l (TAO / ZSQD),08.03.2024,22:48,08.03.2024,23:35,41,69,28
CQH6521,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wuxi (WUX / ZSWX),08.03.2024,22:47,09.03.2024,00:38,113,125,12
