Aircraft,Flight_Type,Origin    ,Destination,Departure_Date,Departure_Time,Arrival_Date,Arrival_Time,Estimated ArrivalTime,RealArrivalTime,EA_Time_Minutes,RA_Time_Minutes,Delay_Time
PIC6523,A320,Tan Son Nhat Int'l (SGN / VVTS),Phu Quoc International (PQC / VVPQ),06.03.2024,11:39PM,07.03.2024,12:24AM,0 days 00:45:00,0h 55m,45,55,10
TAM3650,A320,São Paulo-Congonhas (CGH / SBSP),Goiabeiras (VIX / SBVT),06.03.2024,01:39PM,06.03.2024,02:49PM,0 days 01:10:00,1h 20m,70,80,10
TAP436,A320,General Humberto Delgado Airport (LIS / LPPT),Paris Orly (ORY / LFPO),06.03.2024,04:38PM,06.03.2024,07:48PM,0 days 02:10:00,2h 23m,130,143,13
VIV112,A320,Lic. Benito Juarez Int'l (MEX / MMMX),Harry Reid Intl (KLAS),06.03.2024,10:37AM,06.03.2024,12:25PM,0 days 03:45:00,3h 58m,225,238,13
VIV3144,A320,Don Miguel Hidalgo y Costilla Int'l (GDL / MMGL),Angel Albino Corzo Int'l (TGZ / MMTG),06.03.2024,10:38AM,06.03.2024,12:18PM,0 days 01:40:00,1h 57m,100,117,17
VLG8472,A320,Valencia (VLC / LEVC),London Gatwick (LGW / EGKK),06.03.2024,05:41PM,06.03.2024,06:51PM,0 days 02:10:00,2h 20m,130,140,9.99999999999997
VTI565,A320,Chatrapati Shivaji Int'l (BOM / VABB),Jaipur (Sanganer) (JAI / VIJP),06.03.2024,10:08PM,06.03.2024,11:43PM,0 days 01:35:00,2h 02m,95,122,27
WMT3771,A320,Sibiu Int'l (SBZ / LRSB),London Luton (LTN / EGGW),06.03.2024,06:38PM,06.03.2024,07:35PM,0 days 02:50:00,2h 57m,170,177,7
WZZ4377,A320,Sofia Airport (SOF / LBSF),Copenhagen (CPH / EKCH),06.03.2024,06:40PM,06.03.2024,08:20PM,0 days 02:40:00,2h 45m,160,165,5
EZY8407,A320,London Gatwick (LGW / EGKK),Charles de Gaulle/Roissy (CDG / LFPG),06.03.2024,04:58PM,06.03.2024,06:46PM,0 days 00:48:00,1h 15m,48,75,27
FAD143,A320,King Khalid Int'l (RUH / OERK),King Abdulaziz Int'l (JED / OEJN),06.03.2024,07:56PM,06.03.2024,09:31PM,0 days 01:35:00,1h 35m,95,95,0
FAD508,A320,Dubai Int'l (DXB / OMDB),King Khalid Int'l (RUH / OERK),06.03.2024,08:56PM,06.03.2024,09:35PM,0 days 01:35:00,1h 35m,95,95,0
FIN456,A320,Oulu (OUL / EFOU),Helsinki-Vantaa (HEL / EFHK),06.03.2024,06:56PM,06.03.2024,07:37PM,0 days 00:45:00,0h 45m,45,45,0
HKE765,A320,Phuket Int'l (HKT / VTSP),Hong Kong Int'l (HKG / VHHH),06.03.2024,11:56PM,07.03.2024,03:49AM,0 days 03:05:00,3h 05m,185,185,0
IAD558,A320,Bengaluru Int'l (BLR / VOBL),Netaji Subhash Chandra Bose Int'l (CCU / VECC),06.03.2024,10:27PM,07.03.2024,12:22AM,0 days 01:55:00,2h 10m,115,130,15
LBT613,A320,Bologna (Guglielmo Marconi) (BLQ / LIPE),Tunis-Carthage Int'l (TUN / DTTA),06.03.2024,05:59PM,06.03.2024,07:19PM,0 days 01:20:00,1h 26m,80,86,6
LPE2111,A320,Jorge Chávez Int'l (LIM / SPJC),Rodriguez Ballon Int'l (AQP / SPQU),06.03.2024,11:57AM,06.03.2024,01:12PM,0 days 01:15:00,1h 15m,75,75,0
LPE2320,A320,Subteniente FAP Alejandro Velasco Astete Int'l (CUZ / SPZO),Padre Jose de Aldamiz Int'l (PEM / SPTU),06.03.2024,11:58AM,06.03.2024,12:35PM,0 days 00:40:00,0h 47m,40,47,7
NKS1619,A320,Pittsburgh Intl (KPIT),Orlando Intl (KMCO),06.03.2024,11:58AM,06.03.2024,01:58PM,0 days 02:00:00,2h 06m,120,126,6
QTR630,A320,Hamad Int'l (DOH / OTHH),Sialkot Int'l (SKT / OPST),06.03.2024,07:59PM,07.03.2024,01:14AM,0 days 03:15:00,3h 10m,195,190,-5
