Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime
ABY221,A320,Sharjah Int'l (SHJ / OMSJ),al-Jouf Domestic (AJF / OESK),Fri 02:37PM +04,Fri 04:12PM +03,02:35:00,2h 55m
AFL1387,A320,Ulyanovsk Baratayeveka Airport (ULV / UWLL),Sheremetyevo Int'l (SVO / UUEE),Fri 02:38PM +04,Fri 02:58PM MSK,01:20:00,1h 30m
AIQ3215,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Krabi (KBV / VTSG),Fri 05:37PM +07,Fri 06:52PM +07,01:15:00,1h 15m
AIQ3557,A320,Nan (NNT / VTCN),Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Fri 05:38PM +07,Fri 06:28PM +07,00:50:00,0h 50m
ARE4052,A320,Alfonso Bonilla Aragon Int'l (CLO / SKCL),El Dorado Int'l (BOG / SKBO),Fri 05:37AM -05,Fri 06:16AM -05,00:45:00,0h 40m
AWQ507,A320,Singapore Changi (SIN / WSSS),Ngurah Rai/Bali Intl (DPS / WADD),Fri 06:39PM +08,Fri 09:24PM WITA,02:45:00,0h 37m
AXM137,A320,Hong Kong Int'l (HKG / VHHH),Kuala Lumpur Int'l (KUL / WMKK),Fri 06:36PM HKT,Fri 09:55PM +08,03:30:00,2h 35m
AXM5173,A320,RMAF Labuan (LBU / WBKL),Kuala Lumpur Int'l (KUL / WMKK),Fri 06:39PM +08,Fri 08:44PM +08,02:05:00,2h 05m
BAW753,A320,Basle-Mulhouse (EAP / LFSB),London Heathrow (LHR / EGLL),Fri 11:38AM CET,Fri 11:46AM GMT,01:15:00,1h 45m
CBJ5964,A320,Kunming Changshui Int'l (KMG / ZPPP),Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Fri 06:37PM CST,Fri 09:10PM CST,02:33:00,2h 55m
CTN481,A320,Copenhagen (CPH / EKCH),Zagreb Pleso (ZAG / LDZA),Fri 11:37AM CET,Fri 01:00PM CET,01:30:00,1h 30m
CTV435,A320,Sepinggan Int'l (BPN / WALL),Juanda Int'l (SUB / WARR),Fri 06:39PM WITA,Fri 06:59PM WIB,01:20:00,1h 40m
DAL1294,A320,Albany Intl (KALB),Detroit Metro Wayne Co (KDTW),Fri 05:37AM EST,Fri 06:56AM EST,01:19:00,1h 25m
EJU3750,A320,Barcelona Int'l (BCN / LEBL),Malpensa Int'l (MXP / LIMC),Fri 11:39AM CET,Fri 01:45PM CET,02:06:00,2h 17m
EWG7589,A320,Palma de Mallorca (or Son Sant Joan) (PMI / LEPA),Hamburg (HAM / EDDH),Fri 11:38AM CET,Fri 02:08PM CET,02:30:00,2h 30m
