1709584082-37,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,IAD584,https://www.flightaware.com/live/flight/id/IAD584-1709404692-schedule-1820p%3a0,1h 45m
1709583930-4,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,ISR562,https://www.flightaware.com/live/flight/id/ISR562-1709410944-schedule-276p%3a0,1h 45m
1709584069-34,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,LAN771,https://www.flightaware.com/live/flight/id/LAN771-1709410943-schedule-127p%3a0,4h 49m
1709584012-21,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,LPE2088,https://www.flightaware.com/live/flight/id/LPE2088-1709411876-schedule-2093p%3a0,1h 08m
1709584094-40,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,NKS1017,https://www.flightaware.com/live/flight/id/NKS1017-1709409985-schedule-525p%3a0,3h 06m
1709584029-25,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,NKS1592,https://www.flightaware.com/live/flight/id/NKS1592-1709410942-schedule-518p%3a0,2h 16m
1709584065-33,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,NKS408,https://www.flightaware.com/live/flight/id/NKS408-1709411876-schedule-2073p%3a0,4h 01m
1709583948-8,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,QTR671,https://www.flightaware.com/live/flight/id/QTR671-1709411877-schedule-2282p%3a0,4h 57m
1709583963-11,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,SBI5566,https://www.flightaware.com/live/flight/id/SBI5566-1709410011-schedule-2p%3a0,2h 30m
1709583944-7,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,SWR1950,https://www.flightaware.com/live/flight/id/SWR1950-1709410944-schedule-130p%3a0,1h 30m
1709584078-36,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,TAM3469,https://www.flightaware.com/live/flight/id/TAM3469-1709410943-schedule-166p%3a0,0h 55m
1709583919-1,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,TAM3759,https://www.flightaware.com/live/flight/id/TAM3759-1709410943-schedule-68p%3a0,3h 35m
1709584075-35,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,UAL378,https://www.flightaware.com/live/flight/id/UAL378-1709374715-fa-1410p%3a0,2h 38m
1709584062-32,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,VIV3243,https://www.flightaware.com/live/flight/id/VIV3243-1709410942-schedule-274p%3a0,1h 28m
1709584003-19,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,VLG8936,https://www.flightaware.com/live/flight/id/VLG8936-1709515038-ed-875p%3a0,0h 05m
1709584086-38,https://www.flightaware.com/live/fleet/AFR/cancelled,A320,https://www.flightaware.com/live/aircrafttype/A320,WZZ4210,https://www.flightaware.com/live/flight/id/WZZ4210-1709410944-schedule-228p%3a0,2h 00m
